# file created on Thu Aug  1 09:43:55 2024
# Date,  Time,  radiator gas,  mirror (mm),  rad. aerogel,  mirror (mm),  Status,  Polarity,  Collimators,  GeV,  Trigger,  Imaging,  Timing,  Temperature (C),  Bias Voltage (V),  Calibration,  DCR scan,  Physics,  N spills,  GEM,  Triggers,  Quality,  Archived,  Notes,  
norun,  "PDU1: 53,  C4F10 (1.0014),  -20,  "2x aerogel tiles: AG22-J001 (1.021),  "aerogel mirror = 20 mm,  on,  negative,  12,  11.5,  "193: Luca-and-16x10,  -,  -,  "PDU1: -40,  6,  1986,  1000,  20240604-210538,  0,  0,  0,  good,  -,  First test after re-mounting -> GEM did not start properly: cards enabled 0,  empty",  ,  ,  ,  ,  
norun,  "PDU1: 53,  C4F10 (1.0014),  -20,  "2x aerogel tiles: AG22-J001 (1.021),  "aerogel mirror = 20 mm,  on,  negative,  12,  11.5,  "193: Luca-and-16x10,  -,  -,  "PDU1: -40,  6,  1986,  1000,  20240604-210538,  0,  0,  0,  good,  -,  First test after re-mounting -> GEM did not start properly: cards enabled 0,  empty",  
20240526-143658,  ,  27/05/2024,  morning,  single-ext-std-tb2024-base.02,  -20,  "aerogel 1.02,  120,  on,  negative,  12,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240526-143658,  20240527-112432,  10,  -,  -,  bad,  "excluded chip-2 of kc705-200,   which is timing back"
20240527-134015,  ,  27/05/2024,  morning,  single-ext-std-tb2024-base.02,  -20,  "aerogel 1.02,  off,  off,  negative,  12,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240527-134015,  5,  5,  -,  bad,  bad,  TEST run to restart,  TEST run to restart
20240527-134825,  ,  27/05/2024,  morning,  single-ext-std-tb2024-base.02,  -20,  "aerogel 1.02,  off,  off,  negative,  12,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240527-134825,  5,  5,  -,  bad,  bad,  TEST run to restart: waiting for temperature to stabilize,  TEST run to restart: waiting for temperature to stabilize
20240527-135253,  ,  27/05/2024,  morning,  single-ext-std-tb2024-base.02,  -20,  "aerogel 1.02,  off,  off,  negative,  12,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240527-135253,  10,  10,  -,  bad,  bad,  TEST run to restart: waiting for temperature to stabilize,  TEST run to restart: waiting for temperature to stabilize
20240527-140236,  ,  27/05/2024,  morning,  single-ext-std-tb2024-base.02,  -20,  "aerogel 1.02,  on,  on,  negative,  12,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240527-140236,  5,  5,  -,  bad,  bad,  TEST run to restart: checking the beam operations. Some blanks spots so ALCOR is reinitialized and few photons,  TEST run to restart: checking the beam operations. Some blanks spots so ALCOR is reinitialized and few photons
20240527-142146,  ,  27/05/2024,  morning,  single-ext-std-tb2024-base.02,  -20,  "aerogel 1.02,  on,  on,  negative,  12,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240527-142146,  5,  5,  -,  bad,  bad,  Now it's good,  Now it's good
20240527-142623,  ,  27/05/2024,  morning,  single-ext-std-tb2024-base.02,  -20,  100,  on,  on,  negative,  12,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240527-142623,  10,  10,  -,  good,  good,  Position of the mirror back to 100,  Position of the mirror back to 100
20240527-143549,  ,  27/05/2024,  morning,  single-ext-std-tb2024-base.02,  -20,  120,  120,  on,  negative,  12,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240527-143549,  10,  10,  -,  need QA,  need QA,  back to the scan: 120,  back to the scan: 120
20240527-144641,  ,  27/05/2024,  morning,  single-ext-std-tb2024-base.02,  -20,  130,  130,  on,  negative,  12,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240527-144641,  10,  10,  -,  warning,  warning,  few photons,  few photons
20240527-145357,  ,  27/05/2024,  morning,  single-ext-std-tb2024-base.02,  -20,  140,  140,  on,  negative,  12,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240527-145357,  10,  10,  -,  need QA,  need QA,  -,  few photons
20240527-150539,  ,  27/05/2024,  morning,  single-ext-std-tb2024-base.02,  -20,  140,  140,  on,  negative,  12,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240527-150539,  10,  10,  -,  -,  need QA,  tried to initialize ALCORs again,  tried to initialize ALCORs again
20240526-143658,  ,  27/05/2024,  morning,  single-ext-std-tb2024-base.02,  -20,  "aerogel 1.02,  140,  on,  negative,  12,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240526-143658,  20240527-150539,  10,  -,  -,  need QA,  -,  tried to initialize ALCORs again
20240526-143658,  ,  27/05/2024,  morning,  single-ext-std-tb2024-base.02,  -20,  "aerogel 1.02,  140,  on,  negative,  12,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240526-143658,  20240527-150539,  10,  -,  -,  need QA,  ACCESS TO FIX TIMING BACK-SIDE,  ACCESS TO FIX TIMING BACK-SIDE
20240526-143658,  ,  27/05/2024,  morning,  single-ext-std-tb2024-base.02,  -20,  "aerogel 1.02,  140,  on,  negative,  12,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240526-143658,  20240527-150539,  10,  -,  -,  need QA,  "we will mount the scintillator in the place of the tracking matrix,   we swap the FireFly cables to keep the channel mapping the same"
20240526-143658,  ,  27/05/2024,  morning,  single-ext-std-tb2024-base.02,  -20,  "aerogel 1.02,  140,  on,  negative,  12,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240526-143658,  20240527-150539,  10,  -,  -,  need QA,  -,  "we will mount the scintillator in the place of the tracking matrix
